Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\-Pa_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34232E+17;onsdag 13. mai 2026;15:40:20.201;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34232E+17;onsdag 13. mai 2026;15:41:12.537;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
;;;;;;;;;;;;;;;;;;;;;;;;
0,001;-1;0,13701006;0,131381146;0;68,87417219;69,84778898;0,158696249;0,143482051;0,09765923;0,106237475;123,648793;125,2365811;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,81E-58;6,45E-56;0;0;5,81E-58;-0,00938095
0,002;-1;0,13701006;0,131381146;0;68,82534257;69,84731911;0,158696249;0,143535086;0,109866634;0,106214496;123,7220374;125,236234;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-5,23E-58;5,81E-56;0;0;5,23E-58;-0,00938095
0,003;-1;0,13701006;0,131381146;0;68,83754997;69,84669752;0,158696249;0,143587958;0,109866634;0,106229883;123,7586596;125,2361177;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,70E-58;5,23E-56;0;0;4,70E-58;-0,00938095
0,004;-1;0,13701006;0,131381146;0;68,86196478;69,84611616;0,183111057;0,143640665;0,109866634;0,106245222;123,6976226;125,2361166;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-4,23E-58;4,70E-56;0;0;4,23E-58;-0,00938095
0,005;-1;0,13701006;0,131381146;0;68,87417219;69,84561318;0,158696249;0,143769798;0,109866634;0,106260513;123,7342448;125,2359241;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,81E-58;4,23E-56;0;0;3,81E-58;-0,00938095
0,006;-1;0,13701006;0,131381146;0;68,87417219;69,84515006;0,158696249;0,143821942;0,109866634;0,106275757;123,7342448;125,2358471;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,43E-58;3,81E-56;0;0;3,43E-58;-0,00938095
0,007;-1;0,13701006;0,131381146;0;68,88637959;69,84468837;0,158696249;0,143873924;0,109866634;0,106290954;123,7830744;125,2357703;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-3,09E-58;3,43E-56;0;0;3,09E-58;-0,00938095
0,008;-1;0,137044619;0,131412465;0;68,87417219;69,84426641;0,158696249;0,143925745;0,122074038;0,106306104;123,7586596;125,2358469;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,78E-58;3,09E-56;0;0;2,78E-58;-0,00938095
0,009;-1;0,137044619;0,131412465;0;68,89858699;69,84380746;0,158696249;0,143977406;0,122074038;0,106359501;123,6854152;125,2358467;0,532294086;0,375561105;0,000670068;0,289776086;-0,037522734;0;-2,50E-58;2,78E-56;0;0;2,50E-58;-0,00938095
