Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\Ramp_04.05.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34223E+17;mandag 4. mai 2026;08:02:17.201;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34223E+17;mandag 4. mai 2026;08:03:05.623;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
;;;;;;;;;;;;;;;;;;;;;;;
0,001;0;-1;0,034598438;0,034575634;-0,343811395;67,9708243;68,76396093;0,134281442;0,125394963;0,109866634;0,108338948;95,68163091;96,86695432;0;0;0;0;0;0;0;0;0;0
0,002;0;-1;0,034598438;0,034575634;-0,333988212;67,9464095;68,76401713;0,134281442;0,125427479;0,109866634;0,108347749;95,69383831;96,86682003;0;0;0;0;0;0;0;0;0;0
0,003;0;-1;0,034598438;0,034575634;-0,412573674;67,9586169;68,76399656;0,122074038;0,125459895;0,109866634;0,108356522;95,62059389;96,86672446;0;0;0;0;0;0;0;0;0;0
0,004;0;-1;0,034598438;0,034575634;-0,442043222;67,9586169;68,76401435;0,122074038;0,125453915;0,109866634;0,108365269;95,6572161;96,86639942;0;0;0;0;0;0;0;0;0;0
0,005;0;-1;0,034598438;0,034575634;-0,442043222;67,9586169;68,76403209;0,122074038;0,125447955;0,109866634;0,108373988;95,6572161;96,86619027;0;0;0;0;0;0;0;0;0;0
0,006;0;-1;0,034598438;0,034575634;-0,442043222;67,9708243;68,76404977;0,122074038;0,125442012;0,109866634;0,10838268;95,70604572;96,86598177;0;0;0;0;0;0;0;0;0;0
0,007;0;-1;0,034598438;0,034575634;-0,432220039;67,9708243;68,76410569;0,122074038;0,125436088;0,122074038;0,108391346;95,66942351;96,86592709;0;0;0;0;0;0;0;0;0;0
0,008;0;-1;0,034598438;0,034575634;-0,451866405;67,9708243;68,76416144;0,122074038;0,125430183;0,109866634;0,108438279;95,6450087;96,86575769;0;0;0;0;0;0;0;0;0;0
0,009;0;-1;0,034629916;0,034606953;-0,47151277;68,00744652;68,76421702;0,122074038;0,125424295;0,109866634;0,108446772;95,70604572;96,86551224;0;0;0;0;0;0;0;0;0;0
0,01;0;-1;0,034629916;0,034606953;-0,392927308;68,00744652;68,7643873;0,122074038;0,125418426;0,109866634;0,108455238;95,70604572;96,86545902;0;0;0;0;0;0;0;0;0;0
0,011;0;-1;0,034629916;0,034606953;-0,451866405;67,9708243;68,76455706;0,109866634;0,125412575;0,109866634;0,108463679;95,73046052;96,86540596;0;0;0;0;0;0;0;0;0;0
0,012;0;-1;0,034629916;0,034606953;-0,412573674;67,9586169;68,76461141;0,109866634;0,125368448;0,109866634;0,108472093;95,6572161;96,86542965;0;0;0;0;0;0;0;0;0;0
0,013;0;-1;0,034629916;0,034606953;-0,451866405;67,9586169;68,7646273;0,109866634;0,125324457;0,109866634;0,108480481;95,6572161;96,86522351;0;0;0;0;0;0;0;0;0;0
0,014;0;-1;0,034629916;0,034606953;-0,432220039;67,9464095;68,76464313;0,09765923;0,125280603;0,109866634;0,108488843;95,74266793;96,865018;0;0;0;0;0;0;0;0;0;0
0,015;0;-1;0,034629916;0,034606953;-0,451866405;67,9464095;68,76462063;0,09765923;0,12519859;0,109866634;0,108497179;95,74266793;96,8650812;0;0;0;0;0;0;0;0;0;0
0,016;0;-1;0,034598438;0,034575634;-0,432220039;67,93420209;68,76459819;0,09765923;0,125116832;0,109866634;0,10850549;95,74266793;96,86514419;0;0;0;0;0;0;0;0;0;0
0,017;0;-1;0,034598438;0,034575634;-0,442043222;67,9464095;68,76453753;0,09765923;0,125035327;0,109866634;0,108513774;95,69383831;96,865207;0;0;0;0;0;0;0;0;0;0
0,018;0;-0,985908877;0,034598438;0,034575634;-0,402750491;67,93420209;68,76451535;0,109866634;0,124954074;0,109866634;0,108522033;95,70604572;96,86511643;0;0;0;0;0;0;0;0;0;0
0,019;0;-0,863316111;0,034598438;0,034575634;-0,432220039;67,92199469;68,76445494;0,09765923;0,124911368;0,109866634;0,108530267;95,75487533;96,86506443;0;0;0;0;0;0;0;0;0;0
0,02;0;-0,740958196;0,034598438;0,034575634;-0,442043222;67,92199469;68,76435643;0,09765923;0,1248305;0,109866634;0,108538474;95,75487533;96,86516577;0;0;0;0;0;0;0;0;0;0
0,021;0;-0,61836543;0,034598438;0,034575634;-0,412573674;67,90978729;68,76425822;0,109866634;0,124749882;0,109866634;0,108546657;95,69383831;96,8652668;0;0;0;0;0;0;0;0;0;0
0,022;0;-0,61836543;0,034598438;0,034575634;-0,442043222;67,92199469;68,76412202;0,109866634;0,124707809;0,109866634;0,108554814;95,68163091;96,86517605;0;0;0;0;0;0;0;0;0;0
