Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\SineWave_speedtreshold0.02_KvFF_PF_100bar_0.1freq_24.04.26.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34215E+17;fredag 24. april 2026;08:06:38.351;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34215E+17;fredag 24. april 2026;08:07:38.506;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPID;fPxGrad;fUpfb;fUpfbGrad;fPx
;;;;;;;;;;;;;;;;;;;;;;;
0,001;9,71E-52;-1;0,034598438;0,034575634;-0,412573674;71,27903073;72,08739499;0,134281442;0,133040319;0,073244423;0,10812936;101,3092441;102,581137;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-9,71E-52;1,08E-49;0
0,002;8,74E-52;-1;0,034598438;0,034575634;-0,432220039;71,29123814;72,08752638;0,134281442;0,133049135;0,073244423;0,108023927;101,3702811;102,5809426;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-8,74E-52;9,71E-50;0
0,003;7,86E-52;-1;0,034598438;0,034575634;-0,392927308;71,29123814;72,08769566;0,134281442;0,133057923;0,073244423;0,10791882;101,3702811;102,5809403;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-7,86E-52;8,74E-50;0
0,004;7,08E-52;-1;0,034598438;0,034575634;-0,442043222;71,29123814;72,08786442;0,134281442;0,133066684;0,073244423;0,10781404;101,3458663;102,5809379;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-7,08E-52;7,86E-50;0
0,005;6,37E-52;-1;0,034598438;0,034575634;-0,383104126;71,29123814;72,08803265;0,122074038;0,133075419;0,073244423;0,107709584;101,3092441;102,580859;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-6,37E-52;7,08E-50;0
0,006;5,73E-52;-1;0,034629916;0,034606953;-0,442043222;71,27903073;72,08820037;0,122074038;0,133045831;0,073244423;0,107605452;101,3458663;102,5806654;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,73E-52;6,37E-50;0
0,007;5,16E-52;-1;0,034629916;0,034606953;-0,412573674;71,27903073;72,08832927;0,122074038;0,133016335;0,09765923;0,107501643;101,3702811;102,5805874;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-5,16E-52;5,73E-50;0
0,008;4,64E-52;-1;0,034629916;0,034606953;-0,432220039;71,27903073;72,08845776;0,122074038;0,132986931;0,09765923;0,107474745;101,3702811;102,5805861;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,64E-52;5,16E-50;0
0,009;4,18E-52;-1;0,034629916;0,034606953;-0,432220039;71,27903073;72,08858586;0,122074038;0,132957618;0,073244423;0,10744793;101,3214515;102,5805849;1,078689432;0,555081977;-0,002337844;0,306465123;-0,066391531;0,032729818;0;-4,18E-52;4,64E-50;0
