Name;SineWave Scoping;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\SineWave\pB_120bar_0.075_13.05.26.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34231E+17;onsdag 13. mai 2026;11:43:07.601;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34231E+17;onsdag 13. mai 2026;11:44:03.687;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;fKv;fU_FF;fError;fXRef;fXDotRef;fPxGrad;fUpfb;fUpfbGrad;fPx;fU_FF_Nominal;fU;fPID
;;;;;;;;;;;;;;;;;;;;;;;;
0,001;-1;0,078226563;0,077012214;0;77,11416974;71,41485654;0,158696249;0,140421782;0,122074038;0,109339173;120,1574755;121,8466346;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,42E-67;2,69E-65;0;0;2,42E-67;0,030269128
0,002;-1;0,078226563;0,077012214;0;77,11416974;71,43537764;0,158696249;0,140484304;0,122074038;0,109383168;120,2063051;121,8458441;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,18E-67;2,42E-65;0;0;2,18E-67;0,030269128
0,003;-1;0,078226563;0,077012214;0;77,10196234;71,45583512;0,146488845;0,140546633;0,122074038;0,109427026;120,2185125;121,8452091;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,96E-67;2,18E-65;0;0;1,96E-67;0,030269128
0,004;-1;0,078226563;0,077012214;0;77,10196234;71,47619088;0,146488845;0,140570474;0,109866634;0,109470749;120,1696829;121,8446144;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,76E-67;1,96E-65;0;0;1,76E-67;0,030269128
0,005;-1;0,078226563;0,077012214;0;77,10196234;71,49648355;0,146488845;0,140594241;0,109866634;0,109476041;120,1696829;121,8438684;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,59E-67;1,76E-65;0;0;1,59E-67;0,030269128
0,006;-1;0,078226563;0,077012214;0;77,10196234;71,51671331;0,158696249;0,140617934;0,109866634;0,109481317;120,1696829;121,8431247;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,43E-67;1,59E-65;0;0;1,43E-67;0,030269128
0,007;-1;0,078193584;0,076980896;0;77,10196234;71,53688035;0,158696249;0,140679849;0,109866634;0,109486576;120,2063051;121,8423833;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,29E-67;1,43E-65;0;0;1,29E-67;0,030269128
0,008;-1;0,078193584;0,076980896;0;77,10196234;71,55698488;0,158696249;0,140741571;0,109866634;0,10949182;120,1940977;121,8417591;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,16E-67;1,29E-65;0;0;1,16E-67;0,030269128
0,009;-1;0,078193584;0,076980896;0;77,08975494;71,57702708;0,158696249;0,140803103;0,109866634;0,109497047;120,1696829;121,8410986;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-1,04E-67;1,16E-65;0;0;1,04E-67;0,030269128
0,01;-1;0,078193584;0,076980896;0;77,08975494;71,59696886;0,158696249;0,140864443;0,109866634;0,109502257;120,1696829;121,8403635;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-9,37E-68;1,04E-65;0;0;9,37E-68;0,030269128
0,011;-1;0,078193584;0,076980896;0;77,07754753;71,61684882;0,158696249;0,140925594;0,109866634;0,109507452;120,2185125;121,8396306;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-8,44E-68;9,37E-66;0;0;8,44E-68;0,030269128
0,012;-1;0,078193584;0,076980896;0;77,04092532;71,63662885;0,158696249;0,140986554;0,109866634;0,10951263;120,2429273;121,8390532;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-7,59E-68;8,44E-66;0;0;7,59E-68;0,030269128
0,013;-1;0,078193584;0,076980896;0;77,01651051;71,65623268;0,158696249;0,141047326;0,09765923;0,109517793;120,1696829;121,8385542;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,83E-68;7,59E-66;0;0;6,83E-68;0,030269128
0,014;-1;0,078193584;0,076980896;0;76,99209571;71,67569916;0,158696249;0,14110791;0,09765923;0,109484645;120,1818903;121,837827;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-6,15E-68;6,83E-66;0;0;6,15E-68;0,030269128
0,015;-1;0,078193584;0,076980896;0;76,99209571;71,69502869;0,158696249;0,141168305;0,09765923;0,109451599;120,1818903;121,8371403;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-5,54E-68;6,15E-66;0;0;5,54E-68;0,030269128
0,016;-1;0,078193584;0,076980896;0;76,9676809;71,71429831;0,158696249;0,141228514;0,109866634;0,109418656;120,2551347;121,8364558;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,98E-68;5,54E-66;0;0;4,98E-68;0,030269128
0,017;-0,984969469;0,078193584;0,076980896;0;76,95547349;71,7334316;0,146488845;0,141288535;0,109866634;0,10942411;120,2063051;121,8360031;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,48E-68;4,98E-66;0;0;4,48E-68;0,030269128
0,018;-0,984969469;0,078193584;0,076980896;0;76,91885128;71,75246728;0,146488845;0,141310076;0,09765923;0,109429547;120,1696829;121,8353987;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-4,04E-68;4,48E-66;0;0;4,04E-68;0,030269128
0,019;-0,862611555;0,078193584;0,076980896;0;76,88222907;71,77132907;0,146488845;0,141331551;0,09765923;0,109396673;120,2185125;121,8346813;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,63E-68;4,04E-66;0;0;3,63E-68;0,030269128
0,02;-0,74025364;0,078193584;0,076980896;0;76,88222907;71,7900175;0,146488845;0,141352958;0,09765923;0,1093639;120,2185125;121,8341192;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-3,27E-68;3,63E-66;0;0;3,27E-68;0,030269128
0,021;-0,617426022;0,078193584;0,076980896;0;76,84560686;71,808648;0,146488845;0,1413743;0,073244423;0,109331229;120,2673421;121,8335589;0,84295658;0,481761535;-0,002162081;0,316295121;-0,058432568;0;-2,94E-68;3,27E-66;0;0;2,94E-68;0,030269128
