Name;YT Scope Project;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\Down100Bar70Signal030326.csv;
Starttime of export;134170096804010000;tirsdag 3. mars 2026;12:08:00.401
Endtime of export;134170096910870000;tirsdag 3. mars 2026;12:08:11.087


Name;fSpoolPosition;fU;fFlow;fFlowRef;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPistonPosition;fPistonPosMeasured;fPs;fPsFiltered;fUpfb

0;-1;0;-150;0;59,7918637653737;60,532373868644;0,12207403790398877;0,13505228978466813;0,13428144169438766;0,1159087167182299;0,4623080752808838;0,45258377701221419;100,74770348216192;101,96479396203154;0
1;-1;0;-150;0;59,7918637653737;60,532290586283189;0,12207403790398877;0,13501657394324046;0,13428144169438766;0,1159706405789987;0,4623080752808838;0,45258377701221419;100,74770348216192;101,96474864657277;0
2;-1;0;-150;0;59,8040711691641;60,532207562097689;0,13428144169438766;0,1349809688209212;0,13428144169438766;0,11603237247579912;0,4623080752808838;0,45258377701221419;100,72328867458113;101,96470347159193;0
3;-1;0;-150;0;59,8040711691641;60,532163089912849;0,13428144169438766;0,13498376870017165;0,13428144169438766;0,11609391300371945;0,4623080752808838;0,45258377701221419;100,74770348216192;101,96458184740216;0
4;-1;0;-150;0;59,8040711691641;60,532118755591796;0,13428144169438766;0,13498655989979644;0,12207403790398877;0,11615526275600324;0,4623080752808838;0,45258377701221419;100,73549607837153;101,96453718949876;0
5;-1;0;-150;0;59,8040711691641;60,53207455870713;0,14648884548478652;0,13498934244670235;0,12207403790398877;0,11617812769836443;0,4623080752808838;0,45258377701221419;100,67445905941953;101,96445437540915;0
6;-1;0;-150;0;59,8040711691641;60,53203049883281;0,14648884548478652;0,13503041099340335;0,12207403790398877;0,1162009217594043;0,4623080752808838;0,45258377701221419;100,67445905941953;101,96418034491478;0
7;-1;0;-150;0;59,7918637653737;60,531986575544096;0,14648884548478652;0,1350713522276096;0,12207403790398877;0,11622364515885494;0,4623080752808838;0,45258377701221419;100,69887386700033;101,96390716391495;0
8;-1;0;-150;0;59,8040711691641;60,531904493791885;0,13428144169438766;0,1351121665439898;0,12207403790398877;0,1162462981157673;0,4623080752808838;0,45258377701221419;100,74770348216192;101,9637114190276;0
9;-1;0;-150;0;59,828485976744894;60,5318609611188;0,13428144169438766;0,13511455971029873;0,12207403790398877;0,11626888084851322;0,4623080752808838;0,45258377701221419;100,69887386700033;101,96366945945215;0
10;-1;0;-150;0;59,7918637653737;60,531894152648384;0,14648884548478652;0,13511694545779213;0,10986663411358989;0,11629139357478763;0,4623080752808838;0,45258377701221419;100,68666646320993;101,96347445144865;0
11;-1;0;-150;0;59,7918637653737;60,531812357407155;0,14648884548478652;0,13515761843515875;0,10986663411358989;0,11627554188592011;0,4622822288170928;0,45255245850297526;100,68666646320993;101,96324175334425;0
12;-1;0;-150;0;59,7796563615833;60,531730815731173;0,14648884548478652;0,13519816532629556;0,10986663411358989;0,11625973933728809;0,4622822288170928;0,45255245850297526;100,73549607837153;101,96300977660397;0
13;-1;0;-150;0;59,7918637653737;60,5316112322087;0,14648884548478652;0,13523858652206983;0,10986663411358989;0,11624398577655681;0,4622822288170928;0,45255245850297526;100,74770348216192;101,96293169749434;0
14;-1;0;-150;0;59,8040711691641;60,531530314020827;0,13428144169438766;0,1352788824121372;0,10986663411358989;0,11622828105186381;0,4622822288170928;0,45255245850297526;100,72328867458113;101,96289215505564;0
15;-1;0;-150;0;59,828485976744894;60,531487941305038;0,13428144169438766;0,13528075875925488;0,10986663411358989;0,11621262501181737;0,4622822288170928;0,45255245850297526;100,75991088595234;101,96277614594713;0
16;-1;0;-150;0;59,828485976744894;60,53152228919604;0,13428144169438766;0,13528262928969648;0,10986663411358989;0,11619701750549505;0,4622822288170928;0,45255245850297526;100,75991088595234;101,96277538034394;0
17;-1;0;-150;0;59,8040711691641;60,531556530608583;0,13428144169438766;0,13528449402149373;0,097659230323191015;0,11618145838244233;0,4622822288170928;0,45255245850297526;100,83315530869473;101,96277461711411;0
18;-1;0;-150;0;59,7918637653737;60,53151407662137;0,13428144169438766;0,1352863529726224;0,097659230323191015;0,1161276528669806;0,4622822288170928;0,45255245850297526;100,82094790490433;101,96300362400443;0
19;-1;0;-150;0;59,7918637653737;60,531433459615826;0,14648884548478652;0,13528820616100259;0,097659230323191015;0,1160740141486168;0,4622822288170928;0,45255245850297526;100,79653309732353;101,9631936263477;0
20;-1;0;-150;0;59,7796563615833;60,531353092523;0,14648884548478652;0,13532834823018927;0,097659230323191015;0,11602054171027994;0,4622822288170928;0,45255245850297526;100,84536271248513;101,96330645043233;0
21;-1;0;-150;0;59,7796563615833;60,531234679942472;0,14648884548478652;0,13536836585896148;0,097659230323191015;0,11596723503650193;0,4622822288170928;0,45255245850297526;100,84536271248513;101,96357210326505;0
22;-1;0;-150;0;59,7918637653737;60,531116634440941;0,13428144169438766;0,13540825943308446;0,097659230323191015;0,11591409361341261;0,4622822288170928;0,45255245850297526;100,85757011627553;101,963836932574;0
23;-1;0;-150;0;59,7796563615833;60,531037249506156;0,13428144169438766;0,13540973471143722;0,097659230323191015;0,11586111692873487;0,4622822288170928;0,45255245850297526;100,82094790490433;101,96413923553779;0
24;-1;0;-150;0;59,7918637653737;60,530919816038981;0,13428144169438766;0,13541120541642707;0,10986663411358989;0,11580830447177963;0,4622822288170928;0,45255245850297526;100,82094790490433;101,96432571748531;0
