Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown110Bar060326\Down110Bar65Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:09:24.915;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:09:33.735;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
46,474;0;-1;0,452408924;0,441215158;-0,373280943;60,52430799;61,34954543;0,134281442;0,147337764;0,122074038;0,112905464;108,7923826;110,140539;;;;;;;;;;
46,475;0;-1;0,452408924;0,441215158;-0,353634578;60,5365154;61,34922659;0,134281442;0,147302258;0,122074038;0,112938403;108,8412122;110,1403851;;;;;;;;;peaks;p_cr
46,476;0;-1;0,452408924;0,441215158;-0,343811395;60,5365154;61,34894704;0,134281442;0,147266862;0,122074038;0,112971241;108,8534196;110,1403847;;;;;;;;;1;236,445204
46,477;0;-1;0,452408924;0,441215158;-0,353634578;60,5365154;61,34866835;0,134281442;0,147231575;0,122074038;0,113003976;108,7801752;110,1404227;;;;;;;;;2;238,288522
46,478;0;-1;0,452408924;0,441215158;-0,36345776;60,5365154;61,34839053;0,134281442;0,147196398;0,122074038;0,11303661;108,7801752;110,1402308;;;;;;;;;3;236,8480483
46,479;0;-1;0,452408924;0,441215158;-0,383104126;60,5487228;61,34811356;0,134281442;0,14716133;0,122074038;0,113069143;108,8412122;110,1400395;;;;;;;;;;
46,48;0;-1;0,452436348;0,441246477;-0,36345776;60,5609302;61,34787576;0,134281442;0,147126371;0,122074038;0,113101575;108,8900418;110,1400403;;;;;;;;;;
46,481;0;-1;0,452436348;0,441246477;-0,373280943;60,5609302;61,34767698;0,122074038;0,14709152;0,122074038;0,113133906;108,865627;110,1401942;;;;;;;;;;
46,482;0;-1;0,452436348;0,441246477;-0,392927308;60,5487228;61,34747882;0,122074038;0,147018483;0,122074038;0,113166137;108,8167974;110,1402711;;;;;;;;;;
46,483;0;-1;0,452436348;0,441246477;-0,353634578;60,5487228;61,34724298;0,122074038;0,146945672;0,122074038;0,113198268;108,8167974;110,1401945;;;;;;;;;;
46,484;0;-1;0,452436348;0,441246477;-0,383104126;60,59755242;61,34700787;0,122074038;0,146873086;0,122074038;0,1132303;108,8534196;110,1401182;;;;;;;;;;
46,485;0;-1;0,452436348;0,441246477;-0,383104126;60,59755242;61,34692666;0,134281442;0,146800726;0,122074038;0,113262232;108,8412122;110,140157;;;;;;;;;;
46,486;0;-1;0,452436348;0,441246477;-0,343811395;60,59755242;61,34684571;0,134281442;0,146766885;0,109866634;0,113294066;108,7923826;110,1401574;;;;;;;;;;
