Name;YT Scope Project;;;;;;;;;;;;;;;;;;;;;;;
File;C:\Users\kimro\Documents\Bachelor\data\spool_mapping\UpDown120Bar060326\Down120Bar75Signal060326.csv;;;;;;;;;;;;;;;;;;;;;;;
Starttime of export;1,34173E+17;fredag 6. mars 2026;08:43:37.774;;;;;;;;;;;;;;;;;;;;;
Endtime of export;1,34173E+17;fredag 6. mars 2026;08:43:45.623;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
fTimer;fU;fSpoolPosition;fPistonPosition;fPistonPosMeasured;fFlow;fPa;fPaFiltered;fPaLower;fPaLowerFiltered;fPb;fPbFiltered;fPs;fPsFiltered;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
32,913;0;-1;0,453723617;0,442718447;0;60,10925626;60,85834229;0,122074038;0,143740411;0,109866634;0,113963423;119,6691794;121,0692908;;;;;;;;;;;
32,914;0;-1;0,453723617;0,442718447;0;60,10925626;60,85824416;0,122074038;0,143677762;0,109866634;0,113954788;119,5959349;121,0693782;;;;;;;;;;;
32,915;0;-1;0,453723617;0,442718447;0;60,12146367;60,85814634;0,134281442;0,143615307;0,109866634;0,11394618;119,5959349;121,0692356;;;;;;;;;;peaks;p_cr
32,916;0;-1;0,453723617;0,442718447;0;60,12146367;60,85808712;0,134281442;0,14359134;0,109866634;0,113937599;119,656972;121,0690934;;;;;;;;;;1;243,0005799
32,917;0;-1;0,453723617;0,442718447;0;60,12146367;60,85802808;0,134281442;0,143567448;0,109866634;0,113929044;119,6325571;121,0691432;;;;;;;;;;2;243,3179724
32,918;0;-1;0,453723617;0,442718447;0;60,12146367;60,85796923;0,134281442;0,14354363;0,109866634;0,113920515;119,6325571;121,0691162;;;;;;;;;;3;245,9303568
32,919;0;-1;0,453723617;0,442718447;0;60,13367107;60,85791055;0,134281442;0,143519886;0,109866634;0,113912013;119,5837275;121,0690892;;;;;;;;;;;
32,92;0;-1;0,453723617;0,442718447;0;60,12146367;60,85789036;0,134281442;0,143496215;0,109866634;0,113903538;119,6203497;121,0689092;;;;;;;;;;;
32,921;0;-1;0,453723617;0,442718447;0;60,13367107;60,85783193;0,146488845;0,143472617;0,109866634;0,113895088;119,656972;121,0688446;;;;;;;;;;;
