Time,<fPistonPosition_G_OPCfPistonPosition>,<fSpoolPosition_G_OPCfSpoolPosition>
0 sec,0,-1
0.001 sec,0,-1
0.002 sec,0,-1
0.003 sec,0,-1
0.004 sec,0,-1
0.005 sec,0,-1
0.006 sec,0,-1
0.007 sec,0,-1
0.008 sec,0,-1
0.009 sec,0,-1
0.01 sec,0,-1
0.011 sec,0,-1
0.012 sec,0,-1
0.013 sec,0,-1
0.014 sec,0,-1
0.015 sec,0,-1
0.016 sec,0,-1
0.017 sec,0,-1
0.018 sec,0,-1
0.019 sec,0,-1
0.02 sec,0,-1
0.021 sec,0,-1
0.022 sec,0,-1
0.023 sec,0,-1
0.024 sec,0,-1
0.025 sec,0,-1
0.026 sec,0,-1
0.027 sec,0,-1
0.028 sec,0,-1
0.029 sec,0,-1
0.03 sec,0,-1
0.031 sec,0,-1
0.032 sec,0,-1
0.033 sec,0,-1
0.034 sec,0,-1
0.035 sec,0,-1
0.036 sec,0,-1
0.037 sec,0,-1
0.038 sec,0,-1
0.039 sec,0,-1
0.04 sec,0,-1
0.041 sec,0,-1
0.042 sec,0,-1
0.043 sec,0,-1
0.044 sec,0,-1
0.045 sec,0,-1
0.046 sec,0,-1
0.047 sec,0,-1
0.048 sec,0,-1
0.049 sec,0,-1
0.05 sec,0,-1
0.051 sec,0,-1
0.052 sec,0,-1
0.053 sec,0,-1
0.054 sec,0,-1
0.055 sec,0,-1
0.056 sec,0,-1
0.057 sec,0,-1
0.058 sec,0,-1
0.059 sec,0,-1
0.06 sec,0,-1
0.061 sec,0,-1
0.062 sec,0,-1
0.063 sec,0,-1
0.064 sec,0,-1
0.065 sec,0,-1
0.066 sec,0,-1
0.067 sec,0,-1
0.068 sec,0,-1
0.069 sec,0,-1
0.07 sec,0,-1
0.071 sec,0,-1
0.072 sec,0,-1
0.073 sec,0,-1
0.074 sec,0,-1
0.075 sec,0,-1
0.076 sec,0,-1
0.077 sec,0,-1
0.078 sec,0,-1
0.079 sec,0,-1
0.08 sec,0,-1
0.081 sec,0,-1
0.082 sec,0,-1
0.083 sec,0,-1
0.084 sec,0,-1
0.085 sec,0,-1
0.086 sec,0,-1
0.087 sec,0,-1
0.088 sec,0,-1
0.089 sec,0,-1
0.09 sec,0,-1
0.091 sec,0,-1
0.092 sec,0,-1
0.093 sec,0,-1
0.094 sec,0,-1
0.095 sec,0,-1
0.096 sec,0,-1
0.097 sec,0,-1
0.098 sec,0,-1
0.099 sec,0,-1
0.1 sec,0,-1
0.101 sec,0,-1
0.102 sec,0,-1
0.103 sec,0,-1
0.104 sec,0,-1
0.105 sec,0,-1
0.106 sec,0,-1
0.107 sec,0,-1
0.108 sec,0,-1
0.109 sec,0,-1
0.11 sec,0,-1
0.111 sec,0,-1
0.112 sec,0,-1
0.113 sec,0,-1
0.114 sec,0,-1
0.115 sec,0,-1
0.116 sec,0,-1
0.117 sec,0,-1
0.118 sec,0,-1
0.119 sec,0,-1
0.12 sec,0,-1
0.121 sec,0,-1
0.122 sec,0,-1
0.123 sec,0,-1
0.124 sec,0,-1
0.125 sec,0,-1
0.126 sec,0,-1
0.127 sec,0,-1
0.128 sec,0,-1
0.129 sec,0,-1
0.13 sec,0,-1
0.131 sec,0,-1
0.132 sec,0,-1
0.133 sec,0,-1
0.134 sec,0,-1
0.135 sec,0,-1
0.136 sec,0,-1
0.137 sec,0,-1
0.138 sec,0,-1
0.139 sec,0,-1
0.14 sec,0,-1
0.141 sec,0,-1
0.142 sec,0,-1
0.143 sec,0,-1
0.144 sec,0,-1
0.145 sec,0,-1
0.146 sec,0,-1
0.147 sec,0,-1
0.148 sec,0,-1
0.149 sec,0,-1
0.15 sec,0,-1
0.151 sec,0,-1
0.152 sec,0,-1
0.153 sec,0,-1
0.154 sec,0,-1
0.155 sec,0,-1
0.156 sec,0,-1
0.157 sec,0,-1
0.158 sec,0,-1
0.159 sec,0,-1
0.16 sec,0,-1
0.161 sec,0,-1
0.162 sec,0,-1
0.163 sec,0,-1
0.164 sec,0,-1
0.165 sec,0,-1
0.166 sec,0,-1
0.167 sec,0,-1
0.168 sec,0,-1
0.169 sec,0,-1
0.17 sec,0,-1
0.171 sec,0,-1
0.172 sec,0,-1
0.173 sec,0,-1
0.174 sec,0,-1
0.175 sec,0,-1
0.176 sec,0,-1
0.177 sec,0,-1
0.178 sec,0,-1
0.179 sec,0,-1
0.18 sec,0,-1
0.181 sec,0,-1
0.182 sec,0,-1
0.183 sec,0,-1
0.184 sec,0,-1
0.185 sec,0,-1
0.186 sec,0,-1
0.187 sec,0,-1
0.188 sec,0,-1
0.189 sec,0,-1
0.19 sec,0,-1
0.191 sec,0,-1
0.192 sec,0,-1
0.193 sec,0,-1
0.194 sec,0,-1
0.195 sec,0,-1
0.196 sec,0,-1
0.197 sec,0,-1
0.198 sec,0,-1
0.199 sec,0,-1
0.2 sec,0,-1
0.201 sec,0,-1
0.202 sec,0,-1
0.203 sec,0,-1
0.204 sec,0,-1
0.205 sec,0,-1
0.206 sec,0,-1
0.207 sec,0,-1
0.208 sec,0,-1
0.209 sec,0,-1
0.21 sec,0,-1
0.211 sec,0,-1
0.212 sec,0,-1
0.213 sec,0,-1
0.214 sec,0,-1
0.215 sec,0,-1
0.216 sec,0,-1
0.217 sec,0,-1
0.218 sec,0,-1
0.219 sec,0,-1
0.22 sec,0,-1
0.221 sec,0,-1
0.222 sec,0,-1
0.223 sec,0,-1
0.224 sec,0,-1
0.225 sec,0,-1
0.226 sec,0,-1
0.227 sec,0,-1
0.228 sec,0,-1
0.229 sec,0,-1
0.23 sec,0,-1
0.231 sec,0,-1
0.232 sec,0,-1
0.233 sec,0,-1
0.234 sec,0,-1
0.235 sec,0,-1
0.236 sec,0,-1
0.237 sec,0,-1
0.238 sec,0,-1
0.239 sec,0,-1
0.24 sec,0,-1
0.241 sec,0,-1
0.242 sec,0,-1
0.243 sec,0,-1
0.244 sec,0,-1
0.245 sec,0,-1
0.246 sec,0,-1
0.247 sec,0,-1
0.248 sec,0,-1
0.249 sec,0,-1
0.25 sec,0,-1
0.251 sec,0,-1
0.252 sec,0,-1
0.253 sec,0,-1
0.254 sec,0,-1
0.255 sec,0,-1
0.256 sec,0,-1
0.257 sec,0,-1
0.258 sec,0,-1
0.259 sec,0,-1
0.26 sec,0,-1
0.261 sec,0,-1
0.262 sec,0,-1
0.263 sec,0,-1
0.264 sec,0,-1
0.265 sec,0,-1
0.266 sec,0,-1
0.267 sec,0,-1
0.268 sec,0,-1
0.269 sec,0,-1
0.27 sec,0,-1
0.271 sec,0,-1
0.272 sec,0,-1
0.273 sec,0,-1
0.274 sec,0,-1
0.275 sec,0,-1
0.276 sec,0,-1
0.277 sec,0,-1
0.278 sec,0,-1
0.279 sec,0,-1
0.28 sec,0,-1
0.281 sec,0,-1
0.282 sec,0,-1
0.283 sec,0,-1
0.284 sec,0,-1
0.285 sec,0,-1
0.286 sec,0,-1
0.287 sec,0,-1
0.288 sec,0,-1
0.289 sec,0,-1
0.29 sec,0,-1
0.291 sec,0,-1
0.292 sec,0,-1
0.293 sec,0,-1
0.294 sec,0,-1
0.295 sec,0,-1
0.296 sec,0,-1
0.297 sec,0,-1
0.298 sec,0,-1
0.299 sec,0,-1
0.3 sec,0,-1
0.301 sec,0,-1
0.302 sec,0,-1
0.303 sec,0,-1
0.304 sec,0,-1
0.305 sec,0,-1
0.306 sec,0,-1
0.307 sec,0,-1
0.308 sec,0,-1
0.309 sec,0,-1
0.31 sec,0,-1
0.311 sec,0,-1
0.312 sec,0,-1
0.313 sec,0,-1
0.314 sec,0,-1
0.315 sec,0,-1
0.316 sec,0,-1
0.317 sec,0,-1
0.318 sec,0,-1
0.319 sec,0,-1
0.32 sec,0,-1
0.321 sec,0,-1
0.322 sec,0,-1
0.323 sec,0,-1
0.324 sec,0,-1
0.325 sec,0,-1
0.326 sec,0,-1
0.327 sec,0,-1
0.328 sec,0,-1
0.329 sec,0,-1
0.33 sec,0,-1
0.331 sec,0,-1
0.332 sec,0,-1
0.333 sec,0,-1
0.334 sec,0,-1
0.335 sec,0,-1
0.336 sec,0,-1
0.337 sec,0,-1
0.338 sec,0,-1
0.339 sec,0,-1
0.34 sec,0,-1
0.341 sec,0,-1
0.342 sec,0,-1
0.343 sec,0,-1
0.344 sec,0,-1
0.345 sec,0,-1
0.346 sec,0,-1
0.347 sec,0,-1
0.348 sec,0,-1
0.349 sec,0,-1
0.35 sec,0,-1
0.351 sec,0,-1
0.352 sec,0,-1
0.353 sec,0,-1
0.354 sec,0,-1
0.355 sec,0,-1
0.356 sec,0,-1
0.357 sec,0,-1
0.358 sec,0,-1
0.359 sec,0,-1
0.36 sec,0,-1
0.361 sec,0,-1
0.362 sec,0,-1
0.363 sec,0,-1
0.364 sec,0,-1
0.365 sec,0,-1
0.366 sec,0,-1
0.367 sec,0,-1
0.368 sec,0,-1
0.369 sec,0,-1
0.37 sec,0,-1
0.371 sec,0,-1
0.372 sec,0,-1
0.373 sec,0,-1
0.374 sec,0,-1
0.375 sec,0,-1
0.376 sec,0,-1
0.377 sec,0,-1
0.378 sec,0,-1
0.379 sec,0,-1
0.38 sec,0,-1
0.381 sec,0,-1
0.382 sec,0,-1
0.383 sec,0,-1
0.384 sec,0,-1
0.385 sec,0,-1
0.386 sec,0,-1
0.387 sec,0,-1
0.388 sec,0,-1
0.389 sec,0,-1
0.39 sec,0,-1
0.391 sec,0,-1
0.392 sec,0,-1
0.393 sec,0,-1
0.394 sec,0,-1
0.395 sec,0,-1
0.396 sec,0,-1
0.397 sec,0,-1
0.398 sec,0,-1
0.399 sec,0,-1
0.4 sec,0,-1
0.401 sec,0,-1
0.402 sec,0,-1
0.403 sec,0,-1
0.404 sec,0,-1
0.405 sec,0,-1
0.406 sec,0,-1
0.407 sec,0,-1
0.408 sec,0,-1
0.409 sec,0,-1
0.41 sec,0,-1
0.411 sec,0,-1
0.412 sec,0,-1
0.413 sec,0,-1
0.414 sec,0,-1
0.415 sec,0,-1
0.416 sec,0,-1
0.417 sec,0,-1
0.418 sec,0,-1
0.419 sec,0,-1
0.42 sec,0,-1
0.421 sec,0,-1
0.422 sec,0,-1
0.423 sec,0,-1
0.424 sec,0,-1
0.425 sec,0,-1
0.426 sec,0,-1
0.427 sec,0,-1
0.428 sec,0,-1
0.429 sec,0,-1
0.43 sec,0,-1
0.431 sec,0,-1
0.432 sec,0,-1
0.433 sec,0,-1
0.434 sec,0,-1
0.435 sec,0,-1
0.436 sec,0,-1
0.437 sec,0,-1
0.438 sec,0,-1
0.439 sec,0,-1
0.44 sec,0,-1
0.441 sec,0,-1
0.442 sec,0,-1
0.443 sec,0,-1
0.444 sec,0,-1
0.445 sec,0,-1
0.446 sec,0,-1
0.447 sec,0,-1
0.448 sec,0,-1
0.449 sec,0,-1
0.45 sec,0,-1
0.451 sec,0,-1
0.452 sec,0,-1
0.453 sec,0,-1
0.454 sec,0,-1
0.455 sec,0,-1
0.456 sec,0,-1
0.457 sec,0,-1
0.458 sec,0,-1
0.459 sec,0,-1
0.46 sec,0,-1
0.461 sec,0,-1
0.462 sec,0,-1
0.463 sec,0,-1
0.464 sec,0,-1
0.465 sec,0,-1
0.466 sec,0,-1
0.467 sec,0,-1
0.468 sec,0,-1
0.469 sec,0,-1
0.47 sec,0,-1
0.471 sec,0,-1
0.472 sec,0,-1
0.473 sec,0,-1
0.474 sec,0,-1
0.475 sec,0,-1
0.476 sec,0,-1
0.477 sec,0,-1
0.478 sec,0,-1
0.479 sec,0,-1
0.48 sec,0,-1
0.481 sec,0,-1
0.482 sec,0,-1
0.483 sec,0,-1
0.484 sec,0,-1
0.485 sec,0,-1
0.486 sec,0,-1
0.487 sec,0,-1
0.488 sec,0,-1
0.489 sec,0,-1
0.49 sec,0,-1
0.491 sec,0,-1
0.492 sec,0,-1
0.493 sec,0,-1
0.494 sec,0,-1
0.495 sec,0,-1
0.496 sec,0,-1
0.497 sec,0,-1
0.498 sec,0,-1
0.499 sec,0,-1
0.5 sec,0,-1
0.501 sec,0,-1
0.502 sec,0,-1
0.503 sec,0,-1
0.504 sec,0,-1
0.505 sec,0,-1
0.506 sec,0,-1
0.507 sec,0,-1
0.508 sec,0,-1
0.509 sec,0,-1
0.51 sec,0,-1
0.511 sec,0,-1
0.512 sec,0,-1
0.513 sec,0,-1
0.514 sec,0,-1
0.515 sec,0,-1
0.516 sec,0,-1
0.517 sec,0,-1
0.518 sec,0,-1
0.519 sec,0,-1
0.52 sec,0,-1
0.521 sec,0,-1
0.522 sec,0,-1
0.523 sec,0,-1
0.524 sec,0,-1
0.525 sec,0,-1
0.526 sec,0,-1
0.527 sec,0,-1
0.528 sec,0,-1
0.529 sec,0,-1
0.53 sec,0,-1
0.531 sec,0,-1
0.532 sec,0,-1
0.533 sec,0,-1
0.534 sec,0,-1
0.535 sec,0,-1
0.536 sec,0,-1
0.537 sec,0,-1
0.538 sec,0,-1
0.539 sec,0,-1
0.54 sec,0,-1
0.541 sec,0,-1
0.542 sec,0,-1
0.543 sec,0,-1
0.544 sec,0,-1
0.545 sec,0,-1
0.546 sec,0,-1
0.547 sec,0,-1
0.548 sec,0,-1
0.549 sec,0,-1
0.55 sec,0,-1
0.551 sec,0,-1
0.552 sec,0,-1
0.553 sec,0,-1
0.554 sec,0,-1
0.555 sec,0,-1
0.556 sec,0,-1
0.557 sec,0,-1
0.558 sec,0,-1
0.559 sec,0,-1
0.56 sec,0,-1
0.561 sec,0,-1
0.562 sec,0,-1
0.563 sec,0,-1
0.564 sec,0,-1
0.565 sec,0,-1
0.566 sec,0,-1
0.567 sec,0,-1
0.568 sec,0,-1
0.569 sec,0,-1
0.57 sec,0,-1
0.571 sec,0,-1
0.572 sec,0,-1
0.573 sec,0,-1
0.574 sec,0,-1
0.575 sec,0,-1
0.576 sec,0,-1
0.577 sec,0,-1
0.578 sec,0,-1
0.579 sec,0,-1
0.58 sec,0,-1
0.581 sec,0,-1
0.582 sec,0,-1
0.583 sec,0,-1
0.584 sec,0,-1
0.585 sec,0,-1
0.586 sec,0,-1
0.587 sec,0,-1
0.588 sec,0,-1
0.589 sec,0,-1
0.59 sec,0,-1
0.591 sec,0,-1
0.592 sec,0,-1
0.593 sec,0,-1
0.594 sec,0,-1
0.595 sec,0,-1
0.596 sec,0,-1
0.597 sec,0,-1
0.598 sec,0,-1
0.599 sec,0,-1
0.6 sec,0,-1
0.601 sec,0,-1
0.602 sec,0,-1
0.603 sec,0,-1
0.604 sec,0,-1
0.605 sec,0,-1
0.606 sec,0,-1
0.607 sec,0,-1
0.608 sec,0,-1
0.609 sec,0,-1
